Window,True Label,IF Anomaly,LSTM Anomaly,XGBoost Prediction
511,1,-1,Yes,1
512,1,-1,Yes,1
513,1,-1,Yes,1
514,1,-1,Yes,1
515,1,-1,Yes,1
516,1,-1,Yes,1
517,1,-1,Yes,1
518,1,-1,Yes,1
519,1,-1,Yes,1
520,1,-1,Yes,1
521,1,-1,Yes,1
522,1,-1,Yes,1
523,1,-1,Yes,1
524,1,-1,Yes,1
525,1,-1,Yes,1
526,1,-1,Yes,1
527,1,-1,Yes,1
528,1,-1,Yes,1
529,1,-1,Yes,1
530,1,-1,Yes,1
531,1,-1,Yes,1
532,1,-1,Yes,1
533,1,-1,Yes,1
534,1,-1,Yes,1
535,1,-1,Yes,1
536,1,-1,Yes,1
537,1,-1,Yes,1
538,1,-1,Yes,1
539,1,-1,Yes,1
540,1,-1,Yes,1
541,1,-1,Yes,1
542,1,-1,Yes,1
543,1,-1,Yes,1
544,1,-1,Yes,1
545,1,-1,Yes,1
546,1,-1,Yes,1
547,1,-1,Yes,1
548,1,-1,Yes,1
549,1,-1,Yes,1
550,1,-1,Yes,1
551,1,-1,Yes,1
552,1,-1,Yes,1
553,1,-1,Yes,1
554,1,-1,Yes,1
555,1,-1,Yes,1
556,1,-1,Yes,1
557,1,-1,Yes,1
558,1,-1,Yes,1
559,1,-1,Yes,1
560,1,-1,Yes,1
561,1,-1,Yes,1
562,1,-1,Yes,1
563,1,-1,Yes,1
564,1,-1,Yes,1
565,1,-1,Yes,1
566,1,-1,Yes,1
567,1,-1,Yes,1
568,1,-1,Yes,1
569,1,-1,Yes,1
570,1,-1,Yes,1
571,1,-1,Yes,1
572,1,-1,Yes,1
573,1,-1,Yes,1
574,1,-1,Yes,1
575,1,-1,Yes,1
576,1,-1,Yes,1
577,1,-1,Yes,1
578,1,-1,Yes,1
579,1,-1,Yes,1
580,1,-1,Yes,1
581,1,-1,Yes,1
582,1,-1,Yes,1
583,1,-1,Yes,1
584,1,-1,Yes,1
585,1,-1,Yes,1
586,1,-1,Yes,1
587,1,-1,Yes,1
588,1,-1,Yes,1
589,1,-1,Yes,1
590,1,-1,Yes,1
591,1,-1,Yes,1
592,1,-1,Yes,1
593,1,-1,Yes,1
594,1,-1,Yes,1
595,1,-1,Yes,1
596,1,-1,Yes,1
597,1,-1,Yes,1
598,1,-1,Yes,1
599,1,-1,Yes,1
600,1,-1,Yes,1
601,1,-1,Yes,1
602,1,-1,Yes,1
603,1,-1,Yes,1
604,1,-1,Yes,1
605,1,-1,Yes,1
606,1,-1,Yes,1
607,1,-1,Yes,1
608,1,-1,Yes,1
609,1,-1,Yes,1
610,1,-1,Yes,1
611,1,-1,Yes,1
612,1,-1,Yes,1
613,1,-1,Yes,1
614,1,-1,Yes,1
615,1,-1,Yes,1
616,1,-1,Yes,1
617,1,-1,Yes,1
618,1,-1,Yes,1
619,1,-1,Yes,1
620,1,-1,Yes,1
621,1,-1,Yes,1
622,1,-1,Yes,1
623,1,-1,Yes,1
624,1,-1,Yes,1
625,1,-1,Yes,1
626,1,-1,Yes,1
627,1,-1,Yes,1
628,1,-1,Yes,1
629,1,-1,Yes,1
630,1,-1,Yes,1
631,1,-1,Yes,1
632,1,-1,Yes,1
633,1,-1,Yes,1
634,1,-1,Yes,1
635,1,-1,Yes,1
636,1,-1,Yes,1
637,1,-1,Yes,1
638,1,-1,Yes,1
639,1,-1,Yes,1
640,1,-1,Yes,1
641,1,-1,Yes,1
642,1,-1,Yes,1
643,1,-1,Yes,1
644,1,-1,Yes,1
645,1,-1,Yes,1
646,1,-1,Yes,1
647,1,-1,Yes,1
648,1,-1,Yes,1
649,1,-1,Yes,1
650,1,-1,Yes,1
651,1,-1,Yes,1
652,1,-1,Yes,1
653,1,-1,Yes,1
654,1,-1,Yes,1
655,1,-1,Yes,1
656,1,-1,Yes,1
657,1,-1,Yes,1
658,1,-1,Yes,1
659,1,-1,Yes,1
660,1,-1,Yes,1
661,1,-1,Yes,1
662,1,-1,Yes,1
663,1,-1,Yes,1
664,1,-1,Yes,1
665,1,-1,Yes,1
666,1,-1,Yes,1
667,1,-1,Yes,1
668,1,-1,Yes,1
669,1,-1,Yes,1
670,1,-1,Yes,1
671,1,-1,Yes,1
672,1,-1,Yes,1
673,1,-1,Yes,1
674,1,-1,Yes,1
675,1,-1,Yes,1
676,1,-1,Yes,1
677,1,-1,Yes,1
678,1,-1,Yes,1
679,1,-1,Yes,1
680,1,-1,Yes,1
681,1,-1,Yes,1
682,1,-1,Yes,1
683,1,-1,Yes,1
684,1,-1,Yes,1
685,1,-1,Yes,1
686,1,-1,Yes,1
687,1,-1,Yes,1
688,1,-1,Yes,1
689,1,-1,Yes,1
690,1,-1,Yes,1
691,1,-1,Yes,1
692,1,-1,Yes,1
693,1,-1,Yes,1
694,1,-1,Yes,1
695,1,-1,Yes,1
696,1,-1,Yes,1
697,1,-1,Yes,1
698,1,-1,Yes,1
699,1,-1,Yes,1
700,1,-1,Yes,1
701,1,-1,Yes,1
702,1,-1,Yes,1
703,1,-1,Yes,1
704,1,-1,Yes,1
705,1,-1,Yes,1
706,1,-1,Yes,1
707,1,-1,Yes,1
708,1,-1,Yes,1
709,1,-1,Yes,1
710,1,-1,Yes,1
711,1,-1,Yes,1
712,1,-1,Yes,1
713,1,-1,Yes,1
714,2,-1,Yes,2
715,2,-1,Yes,2
716,2,-1,Yes,2
717,2,-1,Yes,2
718,2,-1,Yes,2
719,2,-1,Yes,2
720,2,-1,Yes,2
721,2,-1,Yes,2
722,2,-1,Yes,2
723,2,-1,Yes,2
724,2,-1,Yes,2
725,2,-1,Yes,2
726,2,-1,Yes,2
727,2,-1,Yes,2
728,2,-1,Yes,2
729,2,-1,Yes,2
730,2,-1,Yes,2
731,2,-1,Yes,2
732,2,-1,Yes,2
733,2,-1,Yes,2
734,2,-1,Yes,2
735,2,-1,Yes,2
736,2,-1,Yes,2
737,2,-1,Yes,2
738,2,-1,Yes,2
739,2,-1,Yes,2
740,2,-1,Yes,2
741,2,-1,Yes,2
742,2,-1,Yes,2
743,2,-1,Yes,2
744,2,-1,Yes,2
745,2,-1,Yes,2
746,2,-1,Yes,2
747,2,-1,Yes,2
748,2,-1,Yes,2
749,2,-1,Yes,2
750,2,-1,Yes,2
751,2,-1,Yes,2
752,2,-1,Yes,2
753,2,-1,Yes,2
754,2,-1,Yes,2
755,2,-1,Yes,2
756,2,-1,Yes,2
757,2,-1,Yes,2
758,2,-1,Yes,2
759,2,-1,Yes,2
760,2,-1,Yes,2
761,2,-1,Yes,2
762,2,-1,Yes,2
763,2,-1,Yes,2
764,2,-1,Yes,2
765,2,-1,Yes,2
766,2,-1,Yes,2
767,2,-1,Yes,2
768,2,-1,Yes,2
769,2,-1,Yes,2
770,2,-1,Yes,2
771,2,-1,Yes,2
772,2,-1,Yes,2
773,2,-1,Yes,2
774,2,-1,Yes,2
775,2,-1,Yes,2
776,2,-1,Yes,2
777,2,-1,Yes,2
778,2,-1,Yes,2
779,2,-1,Yes,2
780,2,-1,Yes,2
781,2,-1,Yes,2
782,2,-1,Yes,2
783,2,-1,Yes,2
784,2,-1,Yes,2
785,2,-1,Yes,2
786,2,-1,Yes,2
787,2,-1,Yes,2
788,2,-1,Yes,2
789,2,-1,Yes,2
790,2,-1,Yes,2
791,2,-1,Yes,2
792,2,-1,Yes,2
793,2,-1,Yes,2
794,2,-1,Yes,2
795,2,-1,Yes,2
796,2,-1,Yes,2
797,2,-1,Yes,2
798,2,-1,Yes,2
799,2,-1,Yes,2
800,2,-1,Yes,2
801,2,-1,Yes,2
802,2,-1,Yes,2
803,2,-1,Yes,2
804,2,-1,Yes,2
805,2,-1,Yes,2
806,2,-1,Yes,2
807,2,-1,Yes,2
808,2,-1,Yes,2
809,2,-1,Yes,2
810,2,-1,Yes,2
811,2,-1,Yes,2
812,2,-1,Yes,2
813,2,-1,Yes,2
814,2,-1,Yes,2
815,2,-1,Yes,2
816,2,-1,Yes,2
817,2,-1,Yes,2
818,2,-1,Yes,2
819,2,-1,Yes,2
820,2,-1,Yes,2
821,2,-1,Yes,2
822,2,-1,Yes,2
823,2,-1,Yes,2
824,2,-1,Yes,2
825,2,-1,Yes,2
826,2,-1,Yes,2
827,2,-1,Yes,2
828,2,-1,Yes,2
829,2,-1,Yes,2
830,2,-1,Yes,2
831,2,-1,Yes,2
832,2,-1,Yes,2
833,2,-1,Yes,2
834,2,-1,Yes,2
835,2,-1,Yes,2
836,2,-1,Yes,2
837,2,-1,Yes,2
838,2,-1,Yes,2
839,2,-1,Yes,2
840,2,-1,Yes,2
841,2,-1,Yes,2
842,2,-1,Yes,2
843,2,-1,Yes,2
844,2,-1,Yes,2
845,2,-1,Yes,2
846,2,-1,Yes,2
847,2,-1,Yes,2
848,2,-1,Yes,2
849,2,-1,Yes,2
850,2,-1,Yes,2
851,2,-1,Yes,2
852,2,-1,Yes,2
853,2,-1,Yes,2
854,2,-1,Yes,2
855,2,-1,Yes,2
856,2,-1,Yes,2
857,2,-1,Yes,2
858,2,-1,Yes,2
859,2,-1,Yes,2
860,2,-1,Yes,2
861,2,-1,Yes,2
862,2,-1,Yes,2
863,2,-1,Yes,2
864,2,-1,Yes,2
865,2,-1,Yes,2
866,2,-1,Yes,2
867,2,-1,Yes,2
868,2,-1,Yes,2
869,2,-1,Yes,2
870,2,-1,Yes,2
871,2,-1,Yes,2
872,2,-1,Yes,2
873,2,-1,Yes,2
874,2,-1,Yes,2
875,2,-1,Yes,2
876,2,-1,Yes,2
877,2,-1,Yes,2
878,2,-1,Yes,2
879,2,-1,Yes,2
880,2,-1,Yes,2
881,2,-1,Yes,2
882,2,-1,Yes,2
883,2,-1,Yes,2
884,2,-1,Yes,2
885,2,-1,Yes,2
886,2,-1,Yes,2
887,2,-1,Yes,2
888,2,-1,Yes,2
889,2,-1,Yes,2
890,2,-1,Yes,2
891,2,-1,Yes,2
892,2,-1,Yes,2
893,2,-1,Yes,2
894,2,-1,Yes,2
895,2,-1,Yes,2
896,2,-1,Yes,2
897,2,-1,Yes,2
898,2,-1,Yes,2
899,2,-1,Yes,2
900,2,-1,Yes,2
901,2,-1,Yes,2
902,2,-1,Yes,2
903,2,-1,Yes,2
904,2,-1,Yes,2
905,2,-1,Yes,2
906,2,-1,Yes,2
907,2,-1,Yes,2
908,2,-1,Yes,2
909,2,-1,Yes,2
910,2,-1,Yes,2
911,2,-1,Yes,2
912,2,-1,Yes,2
913,2,-1,Yes,2
914,2,-1,Yes,2
915,2,-1,Yes,2
916,2,-1,Yes,2
917,2,-1,Yes,2
918,2,-1,Yes,2
919,2,-1,Yes,2
920,2,-1,Yes,2
921,2,-1,Yes,2
922,2,-1,Yes,2
923,2,-1,Yes,2
924,2,-1,Yes,2
925,2,-1,Yes,2
926,2,-1,Yes,2
927,2,-1,Yes,2
928,2,-1,Yes,2
929,2,-1,Yes,2
930,2,-1,Yes,2
931,2,-1,Yes,2
932,2,-1,Yes,2
933,2,-1,Yes,2
934,2,-1,Yes,2
935,2,-1,Yes,2
936,2,-1,Yes,2
937,2,-1,Yes,2
938,2,-1,Yes,2
939,2,-1,Yes,2
940,2,-1,Yes,2
941,2,-1,Yes,2
942,2,-1,Yes,2
943,2,-1,Yes,2
944,2,-1,Yes,2
945,2,-1,Yes,2
946,2,-1,Yes,2
947,2,-1,Yes,2
948,2,-1,Yes,2
949,3,-1,Yes,3
950,3,-1,Yes,3
951,3,-1,Yes,3
952,3,-1,Yes,3
953,3,-1,Yes,3
954,3,-1,Yes,3
955,3,-1,Yes,3
956,3,-1,Yes,3
957,3,-1,Yes,3
958,3,-1,Yes,3
959,3,-1,Yes,3
960,3,-1,Yes,3
961,3,-1,Yes,3
962,3,-1,Yes,3
963,3,-1,Yes,3
964,3,-1,Yes,3
965,3,-1,Yes,3
966,3,-1,Yes,3
967,3,-1,Yes,3
968,3,-1,Yes,3
969,3,-1,Yes,3
970,3,-1,Yes,3
971,3,-1,Yes,3
972,3,-1,Yes,3
973,3,-1,Yes,3
974,3,-1,Yes,3
975,3,-1,Yes,3
976,3,-1,Yes,3
977,3,-1,Yes,3
978,3,-1,Yes,3
979,3,-1,Yes,3
980,3,-1,Yes,3
981,3,-1,Yes,3
982,3,-1,Yes,3
983,3,-1,Yes,3
984,3,-1,Yes,3
985,3,-1,Yes,3
986,3,-1,Yes,3
987,3,-1,Yes,3
988,3,-1,Yes,3
989,3,-1,Yes,3
990,3,-1,Yes,3
991,3,-1,Yes,3
992,3,-1,Yes,3
993,3,-1,Yes,3
994,3,-1,Yes,3
995,3,-1,Yes,3
996,3,-1,Yes,3
997,3,-1,Yes,3
998,3,-1,Yes,3
999,3,-1,Yes,3
1000,3,-1,Yes,3
1001,3,-1,Yes,3
1002,3,-1,Yes,3
1003,3,-1,Yes,3
1004,3,-1,Yes,3
1005,3,-1,Yes,3
1006,3,-1,Yes,3
1007,3,-1,Yes,3
1008,3,-1,Yes,3
1009,3,-1,Yes,3
1010,3,-1,Yes,3
1011,3,-1,Yes,3
1012,3,-1,Yes,3
1013,3,-1,Yes,3
1014,3,-1,Yes,3
1015,3,-1,Yes,3
1016,3,-1,Yes,3
1017,3,-1,Yes,3
1018,3,-1,Yes,3
1019,3,-1,Yes,3
1020,3,-1,Yes,3
1021,3,-1,Yes,3
1022,3,-1,Yes,3
1023,3,-1,Yes,3
1024,3,-1,Yes,3
1025,3,-1,Yes,3
1026,3,-1,Yes,3
1027,3,-1,Yes,3
1028,3,-1,Yes,3
1029,3,-1,Yes,3
1030,3,-1,Yes,3
1031,3,-1,Yes,3
1032,3,-1,Yes,3
1033,3,-1,Yes,3
1034,3,-1,Yes,3
1035,3,-1,Yes,3
1036,3,-1,Yes,3
1037,3,-1,Yes,3
1038,3,-1,Yes,3
1039,3,-1,Yes,3
1040,3,-1,Yes,3
1041,3,-1,Yes,3
1042,3,-1,Yes,3
1043,3,-1,Yes,3
1044,3,-1,Yes,3
1045,3,-1,Yes,3
1046,3,-1,Yes,3
1047,3,-1,Yes,3
1048,3,-1,Yes,3
1049,3,-1,Yes,3
1050,3,-1,Yes,3
1051,3,-1,Yes,3
1052,3,-1,Yes,3
1053,3,-1,Yes,3
1054,3,-1,Yes,3
1055,3,-1,Yes,3
1056,3,-1,Yes,3
1057,3,-1,Yes,3
1058,3,-1,Yes,3
1059,3,-1,Yes,3
1060,3,-1,Yes,3
1061,3,-1,Yes,3
1062,3,-1,Yes,3
1063,3,-1,Yes,3
1064,3,-1,Yes,3
1065,3,-1,Yes,3
1066,3,-1,Yes,3
1067,3,-1,Yes,3
1068,3,-1,Yes,3
1069,3,-1,Yes,3
1070,3,-1,Yes,3
1071,3,-1,Yes,3
1072,3,-1,Yes,3
1073,3,-1,Yes,3
1074,3,-1,Yes,3
1075,3,-1,Yes,3
1076,3,-1,Yes,3
1077,3,-1,Yes,3
1078,3,-1,Yes,3
1079,3,-1,Yes,3
1080,3,-1,Yes,3
1081,3,-1,Yes,3
1082,3,-1,Yes,3
1083,3,-1,Yes,3
1084,3,-1,Yes,3
1085,3,-1,Yes,3
1086,3,-1,Yes,3
1087,3,-1,Yes,3
1088,3,-1,Yes,3
1089,3,-1,Yes,3
1090,3,-1,Yes,3
1091,3,-1,Yes,3
1092,3,-1,Yes,3
1093,3,-1,Yes,3
1094,3,-1,Yes,3
1095,3,-1,Yes,3
1096,3,-1,Yes,3
1097,3,-1,Yes,3
1098,3,-1,Yes,3
1099,3,-1,Yes,3
1100,3,-1,Yes,3
1101,3,-1,Yes,3
1102,3,-1,Yes,3
1103,3,-1,Yes,3
1104,3,-1,Yes,3
1105,3,-1,Yes,3
1106,3,-1,Yes,3
1107,3,-1,Yes,3
1108,3,-1,Yes,3
1109,3,-1,Yes,3
1110,3,-1,Yes,3
1111,3,-1,Yes,3
1112,3,-1,Yes,3
1113,3,-1,Yes,3
1114,3,-1,Yes,3
1115,3,-1,Yes,3
1116,3,-1,Yes,3
1117,3,-1,Yes,3
1118,3,-1,Yes,3
1119,3,-1,Yes,3
1120,3,-1,Yes,3
1121,3,-1,Yes,3
1122,3,-1,Yes,3
1123,3,-1,Yes,3
1124,3,-1,Yes,3
1125,3,-1,Yes,3
1126,3,-1,Yes,3
1127,3,-1,Yes,3
1128,3,-1,Yes,3
1129,3,-1,Yes,3
1130,3,-1,Yes,3
1131,3,-1,Yes,3
1132,3,-1,Yes,3
1133,3,-1,Yes,3
1134,3,-1,Yes,3
1135,3,-1,Yes,3
1136,3,-1,Yes,3
1137,3,-1,Yes,3
1138,3,-1,Yes,3
1139,3,-1,Yes,3
1140,3,-1,Yes,3
1141,3,-1,Yes,3
1142,3,-1,Yes,3
1143,3,-1,Yes,3
1144,3,-1,Yes,3
1145,3,-1,Yes,3
1146,3,-1,Yes,3
1147,3,-1,Yes,3
1148,3,-1,Yes,3
1149,3,-1,Yes,3
1150,3,-1,Yes,3
1151,3,-1,Yes,3
1152,3,-1,Yes,3
1153,3,-1,Yes,3
1154,3,-1,Yes,3
1155,3,-1,Yes,3
1156,3,-1,Yes,3
1157,3,-1,Yes,3
1158,3,-1,Yes,3
1159,3,-1,Yes,3
1160,3,-1,Yes,3
1161,3,-1,Yes,3
1162,3,-1,Yes,3
1163,3,-1,Yes,3
1164,3,-1,Yes,3
1165,3,-1,Yes,3
1166,3,-1,Yes,3
